industry,budget,mail_response_count,total_meet_count,mail_open_rate,website_visits,converted
Finance,39366.5897915132,2,4,0.1590954557398245,26.0,0
Finance,76762.36506235499,2,1,0.0983707355806638,15.0,0
E-commerce,16638.95144032685,2,0,0.6506370352465572,48.0,0
SaaS,27867.714693559443,2,0,0.138112216890234,24.0,0
SaaS,12776.146558155187,2,0,0.6266211036762472,29.0,0
E-commerce,8222.638772383474,1,0,0.5282172440750681,16.0,0
Finance,140299.20675253708,3,2,0.2607317706707228,8.0,0
Healthcare,278041.6852156595,3,6,0.2601762041203836,3.0,1
Finance,58781.22671611511,8,1,0.3747961579288733,15.0,1
E-commerce,65032.87839521933,4,0,0.2607828566129071,18.0,0
SaaS,27322.730551388915,5,2,0.1785994488936804,13.0,1
Healthcare,87047.37691752575,13,12,0.3954317361489159,31.0,1
Finance,49111.55519189043,0,5,0.4184923477870421,19.0,0
Healthcare,188739.1820861073,0,0,0.1166361347589259,2.0,0
Healthcare,83714.53598096178,10,4,0.2683696338840529,22.0,1
SaaS,146721.87319460366,8,3,0.3332234824699292,20.0,1
SaaS,34571.63339292475,3,2,0.1391082979984043,32.0,0
E-commerce,101532.2506344476,15,5,0.4247689563941554,17.0,1
SaaS,13049.739297392089,0,0,0.3997598388649915,62.0,0
Finance,36592.82597962687,3,1,0.8474830570703411,53.0,0
SaaS,110719.96995597974,0,0,0.1812610258248656,5.0,0
E-commerce,37286.65548661726,3,2,0.5101276771313585,18.0,0
SaaS,70691.46526957184,4,4,0.2110515587335205,28.0,1
E-commerce,75248.44421693146,8,12,0.3902094374263996,48.0,1
SaaS,41480.28192509229,5,2,0.2932237377728424,24.0,0
SaaS,34721.8365593792,10,9,0.3824885368743621,15.0,1
Healthcare,68706.48347964922,5,2,0.1625255598019452,41.0,1
Finance,14431.585825405276,2,0,0.7100619203943731,54.0,0
Finance,406767.2294056612,1,1,0.3367256174711012,10.0,1
Finance,37120.3717807901,8,2,0.2685514035840978,6.0,1
SaaS,177394.12957022365,8,6,0.231412599210025,19.0,1
Healthcare,21291.14850080675,4,3,0.1575357603540651,19.0,1
SaaS,20434.87731866204,2,0,0.5819297961334284,33.0,0
Manufacturing,22483.41661499891,3,0,0.209464308345389,6.0,0
Finance,11337.414465986838,1,0,0.6328803022263129,47.0,0
Healthcare,11223.640275608686,1,0,0.6906536064047526,20.0,0
E-commerce,62778.52647590495,2,1,0.1337238993505843,17.0,0
Finance,12758.49581023558,0,0,0.803270109842931,18.0,0
Finance,307845.7516675376,0,0,0.1947350097732426,7.0,0
Healthcare,13427.442829963757,0,0,0.623233204297642,67.0,0
Finance,171431.15413398846,2,6,0.1332167115893206,9.0,1
Manufacturing,43944.87174035978,8,7,0.3147956345128063,35.0,1
E-commerce,45616.8893765012,3,2,0.1438062375630572,12.0,0
SaaS,184555.4602092685,3,4,0.1561466202944385,8.0,1
E-commerce,197105.49641794444,3,4,0.3346378256176643,3.0,1
E-commerce,48224.165892540535,0,0,0.702758621766021,3.0,0
Finance,40158.78928603633,2,3,0.1073370590258428,29.0,0
E-commerce,431500.9918689348,2,1,0.326150369816748,8.0,0
SaaS,66513.94751273736,4,5,0.1131584977876565,16.0,1
E-commerce,116386.02527206302,0,0,0.1808676615271685,0.0,0
E-commerce,21655.675285067133,3,1,0.6254645757037735,50.0,0
Healthcare,161719.92646852293,4,2,0.1480586417725009,30.0,1
Finance,61618.21653039812,2,3,0.1407532380217141,24.0,0
Finance,158068.9014184703,0,0,0.1153483999500068,10.0,0
Healthcare,82452.25624844886,8,1,0.2526912218281762,9.0,0
E-commerce,40973.490139793896,4,4,0.4391240540911129,12.0,0
E-commerce,49294.80804440527,6,3,0.2007094834733458,11.0,1
Finance,106993.94987266214,11,2,0.4701586489595736,12.0,1
SaaS,152964.69791107514,5,4,0.2158279235429347,13.0,1
Healthcare,58112.046843412776,10,8,0.3488672351956681,32.0,1
Finance,13868.18727986273,2,0,0.6916689419590962,63.0,0
Finance,35186.02615456633,3,1,0.1780468985107437,13.0,0
Healthcare,73692.36214455408,9,7,0.4484793635986338,14.0,1
Manufacturing,160675.34029413434,1,2,0.1928158634223674,9.0,1
Healthcare,212834.17374265703,0,0,0.2835271940231726,7.0,0
SaaS,348234.45584519533,1,2,0.3217143114520674,12.0,1
SaaS,132874.16907730504,10,6,0.3838830713888121,21.0,1
Healthcare,226992.71160051256,11,8,0.2954582303449463,28.0,1
Manufacturing,52569.62366951821,5,2,0.2668474300903123,25.0,0
Manufacturing,417044.3325365373,1,2,0.2106915933456424,4.0,1
Healthcare,85136.70920040568,1,4,0.4762127273058734,13.0,0
SaaS,65135.761940118304,4,1,0.2613423524972436,19.0,0
Healthcare,84309.8103823088,6,1,0.5171173600446348,17.0,0
Healthcare,41984.34855436511,4,1,0.1551275389287395,13.0,0
Finance,48637.25187780897,12,7,0.5071964139977762,25.0,1
SaaS,32070.336728324488,8,5,0.2189231386143336,17.0,1
SaaS,139831.55783658603,1,0,0.1033276703093908,13.0,0
Finance,53623.35775456116,5,0,0.1904852820367554,9.0,0
Healthcare,77442.27422980644,5,4,0.3031130882631821,18.0,0
Manufacturing,23831.86948601865,5,5,0.1380777770959947,18.0,1
Finance,35050.92390773348,2,0,0.6440985976776011,42.0,0
Finance,13251.878777309968,1,0,0.6912621827246598,37.0,0
SaaS,289962.6828687367,1,1,0.2835271940231726,9.0,1
Manufacturing,39391.44968170332,5,1,0.3812202214317799,16.0,1
Finance,99726.21249138672,2,1,0.3291180258822782,16.0,0
SaaS,15836.45667463143,2,0,0.7024030700867943,27.0,0
E-commerce,15960.708190018608,2,0,0.810134848798819,47.0,0
Finance,120327.17745851932,2,0,0.1545561582208937,9.0,0
SaaS,30272.494738555004,3,4,0.3120279653958204,16.0,1
Healthcare,183015.76198730475,4,4,0.1590114508831006,15.0,1
SaaS,32881.967289790875,1,1,0.0819343234641453,12.0,0
SaaS,62343.07551211539,4,2,0.2988309480900694,14.0,0
SaaS,26262.036815531632,2,4,0.1505915379025997,36.0,0
Finance,48136.62228297901,5,1,0.2835271940231726,14.0,1
E-commerce,232539.8838567201,3,2,0.5039579496035023,5.0,1
Healthcare,131292.3490444138,1,3,0.2274629436433217,14.0,0
Finance,10408.91080199746,1,0,0.6679664065467625,74.0,0
Finance,68457.48114757077,2,2,0.0871633755310743,15.0,0
SaaS,53913.7838878379,1,3,0.2835271940231726,11.0,0
SaaS,31033.22429415203,3,1,0.148432813033218,20.0,0
Finance,238100.98310508224,3,5,0.193904184346521,17.0,1
SaaS,25771.13916618908,1,0,0.1674521622071611,14.0,0
Finance,17040.969372244348,3,0,0.7649193838393389,66.0,0
SaaS,352669.2543490073,3,7,0.3526370338116487,2.0,1
Finance,223843.35751407905,2,3,0.2252431388160016,7.0,1
SaaS,51409.94348975466,10,6,0.399948659859405,25.0,1
Healthcare,79518.17772398704,3,4,0.2270862511329884,8.0,0
Manufacturing,48581.89772144844,3,1,0.1467860595252793,25.0,0
Finance,19311.606913154865,13,8,0.4880171938049024,18.0,1
Healthcare,50905.38515514442,6,4,0.2674430360122653,19.0,1
Finance,24438.325158437998,4,2,0.1412993542768377,12.0,0
Manufacturing,26253.90035242597,3,5,0.1668988044562081,67.0,0
E-commerce,87455.1797226058,0,2,0.4758179444763561,18.0,0
Healthcare,77588.15829670055,10,3,0.3555981172760183,12.0,1
SaaS,59297.54674966214,6,2,0.3349846419261671,33.0,0
E-commerce,41358.12706171788,9,7,0.4713879187606796,21.0,1
SaaS,19878.764773440093,3,1,0.2153578326582313,6.0,0
SaaS,93870.96100185173,1,0,0.3677345634139682,8.0,0
Finance,690878.2750751331,1,0,0.3069888252437895,18.0,0
Finance,67456.70342216434,7,4,0.207421934180878,25.0,1
E-commerce,9889.189574202072,2,0,0.8489882187666757,30.0,0
Manufacturing,144079.6698896078,0,0,0.1776046330764576,7.0,0
SaaS,42317.7097561288,5,2,0.1507576362496791,19.0,1
Healthcare,15000.37435939464,1,0,0.5914745080332586,58.0,0
Healthcare,73533.67793039654,3,1,0.1667384511326532,12.0,1
SaaS,57601.49689663279,1,1,0.2125521024685277,10.0,0
E-commerce,39810.07758465323,1,1,0.0779310590311588,31.0,0
E-commerce,16762.91633246263,2,0,0.8055529925828241,75.0,0
E-commerce,17953.96124680136,1,0,0.6988144140775667,38.0,0
SaaS,40018.13357766903,3,0,0.1197894201485104,20.0,0
Finance,142614.3416698162,1,5,0.2226389269848197,15.0,1
Finance,13686.221083405646,3,0,0.7937533226220459,39.0,0
E-commerce,10921.6994399478,2,0,0.7322084362128002,37.0,0
SaaS,302162.53936639207,1,4,0.2436459404976482,5.0,1
Finance,15272.906704711952,3,0,0.6161143275688242,25.0,0
Finance,90055.18022406564,2,4,0.0527728337847008,25.0,1
SaaS,146481.91234672998,1,0,0.0798252059501744,6.0,0
Finance,232137.51502617184,2,3,0.5185633014642679,2.0,1
Finance,68170.48873634735,7,4,0.4716947417855385,35.0,1
SaaS,19372.94665002613,1,2,0.09788741516423,38.0,0
SaaS,9906.435461726662,1,0,0.4857873202471759,81.0,0
SaaS,174055.39375176578,2,2,0.3829597801255124,10.0,1
Finance,70761.73456971924,0,0,0.1450240255785235,23.0,0
SaaS,20447.525232221367,13,6,0.3646185966232094,30.0,1
Finance,39459.29548883057,9,6,0.257345252144988,24.0,1
Healthcare,270977.27948864136,2,2,0.2278815854622946,12.0,1
SaaS,9787.306702413836,1,0,0.6976358645446018,47.0,0
SaaS,12085.258168690045,12,9,0.3665253811189889,28.0,1
E-commerce,148186.07105823373,4,7,0.2455000268999639,8.0,1
SaaS,95300.42094006644,1,1,0.173684169748339,18.0,0
SaaS,162554.55097210457,2,2,0.1663093108539192,32.0,0
Finance,61813.811512780754,3,2,0.0747102019267958,10.0,0
Healthcare,22197.26122379563,2,0,0.6945447365627697,41.0,0
Healthcare,358515.71799491334,2,6,0.2444245836152521,6.0,1
Finance,30445.95516186877,5,2,0.3341691317096383,8.0,0
Manufacturing,40496.649142105685,3,1,0.1228742835215169,10.0,0
Healthcare,77570.91323818247,4,3,0.2465482812251948,24.0,1
E-commerce,267718.5839282702,4,4,0.4322770541989422,8.0,1
SaaS,17640.559650986812,1,0,0.7672780256126012,66.0,0
E-commerce,42138.8798232218,5,1,0.2503618150624481,6.0,0
SaaS,13572.30555124699,2,0,0.7457905528231423,34.0,0
SaaS,68387.04986351098,3,3,0.2835271940231726,15.0,0
SaaS,26969.576631194563,5,1,0.2548942807066807,27.0,0
Finance,47263.23352627341,11,5,0.1753490630048428,40.0,1
SaaS,11001.984834180326,3,2,0.1608556514931512,16.0,1
Healthcare,111832.9711283634,2,2,0.0956507122608556,26.0,0
Finance,13766.368894421284,1,0,0.6283137868257029,45.0,0
SaaS,39251.43846458339,4,1,0.1597465563062572,14.0,0
Finance,21109.06026438804,1,0,0.7458271027324647,25.0,0
Manufacturing,76467.11801759,2,1,0.2456690802537044,16.0,0
Manufacturing,19246.78651510166,2,0,0.849618148803742,26.0,0
Manufacturing,42530.318762834126,5,3,0.4072931791587476,5.0,0
Healthcare,17913.844746521896,2,0,0.3318626206971876,37.0,0
Finance,17747.087470364957,3,0,0.7483257687659448,25.0,0
Manufacturing,27952.12171888515,0,0,0.1159588809225969,22.0,0
Healthcare,393364.2187285589,3,7,0.3226215949135345,27.0,1
Manufacturing,35319.586668273856,8,1,0.3695335467051104,11.0,1
Manufacturing,32772.63920511489,18,15,0.4985836259378608,35.0,1
E-commerce,167177.18114326612,0,0,0.5681167932411513,11.0,0
Healthcare,95269.4643025779,8,3,0.2830911918387185,23.0,1
Healthcare,21836.97908258942,2,0,0.6519946857422575,18.0,0
E-commerce,395252.7262445975,1,1,0.0709343164640494,7.0,0
Healthcare,41848.17976419691,3,1,0.4216800019618514,9.0,0
Finance,29038.402084138022,11,9,0.3538227412615855,24.0,1
SaaS,153527.62181017,1,1,0.2835271940231726,3.0,0
Manufacturing,14519.298615235786,2,1,0.1744669249108468,19.0,0
SaaS,67870.42385295701,4,3,0.291893671957258,30.0,1
SaaS,32947.05482569793,5,5,0.1831754541227503,16.0,1
Finance,164096.13677702102,0,0,0.0356760701290636,19.0,0
SaaS,75321.41750013886,6,6,0.3523524035405144,32.0,1
Manufacturing,39560.5457137904,2,3,0.0646545548731477,18.0,0
Finance,80893.17060018436,12,8,0.4515254721054967,25.0,1
SaaS,46643.87836683376,7,2,0.1267038375799624,16.0,1
E-commerce,9864.281369414724,3,1,0.1674085363496035,11.0,0
SaaS,262005.603845236,3,5,0.527437519407369,0.0,1
SaaS,39651.00460449031,4,3,0.4374784518133989,13.0,0
SaaS,143683.08350818712,4,1,0.3250258328235214,29.0,0
Healthcare,24140.179721616423,2,0,0.595320009863681,30.0,0
Healthcare,73954.01219102423,1,4,0.4096025994265422,21.0,0
E-commerce,80661.46667237613,3,2,0.5809821411498018,9.0,0
E-commerce,39242.47160245276,2,0,0.1145172792332559,19.0,0
E-commerce,46606.4764800789,2,3,0.2011826435596952,21.0,0
Manufacturing,146053.14166564605,3,6,0.3287803544096539,2.0,1
SaaS,137725.18523200927,6,7,0.3059539407675101,42.0,1
SaaS,134035.60970833228,2,5,0.2170221871857632,11.0,0
E-commerce,34600.34154183431,8,4,0.4109197593513682,23.0,1
SaaS,148754.11798037164,4,5,0.1488854524883424,21.0,1
SaaS,152976.48701342585,1,1,0.5894218212333853,6.0,0
E-commerce,49461.879408781744,4,1,0.4055212482629336,7.0,0
E-commerce,88005.78789228735,2,3,0.1461138745959335,25.0,0
Healthcare,119915.36091768747,4,3,0.4455433919436548,3.0,0
Healthcare,50270.92791460806,7,8,0.3150287608151024,40.0,1
Finance,51914.17416428103,6,4,0.3506376791641882,30.0,1
SaaS,152503.47207400075,3,3,0.1493299964207883,5.0,1
Finance,454928.0988375352,3,7,0.0532985508008879,4.0,1
SaaS,26187.791829193648,3,3,0.4568765234135318,5.0,0
SaaS,244740.3600538037,1,5,0.2875196814909854,2.0,1
Healthcare,40373.30008179378,2,2,0.1877833480570928,8.0,0
SaaS,245966.0517852875,0,0,0.1970352786643733,8.0,0
Finance,47706.52496502236,7,8,0.2124432982418919,17.0,1
Finance,307096.807834558,0,0,0.1945847018424026,5.0,0
E-commerce,12816.9212793174,1,1,0.5986283643555188,22.0,0
Healthcare,50842.83753175665,7,2,0.2641517941893196,9.0,1
Finance,28559.951136036336,1,1,0.3639449113884764,11.0,0
SaaS,63865.11798174322,5,1,0.2171665326405236,5.0,0
E-commerce,59320.164806794535,9,5,0.3147726739313376,26.0,1
Finance,137405.5675700172,4,0,0.38324206816697,16.0,0
SaaS,319807.99210750376,2,4,0.2093249339621223,1.0,1
Finance,82150.24829981446,2,2,0.1212497818501519,26.0,0
Finance,34274.09077694508,1,0,0.1911216550647038,11.0,0
SaaS,132311.6046596211,5,3,0.1655262955586277,17.0,1
SaaS,376955.22033353976,1,0,0.1834918639372441,7.0,0
SaaS,92658.78571706256,5,3,0.2722105854746139,19.0,1
SaaS,13788.429318065711,0,0,0.619867488947684,15.0,0
Manufacturing,50010.63933272068,9,2,0.3926745142345258,9.0,1
SaaS,34378.115581668295,2,1,0.0997625863913422,26.0,0
Healthcare,23689.191619569203,1,0,0.7594366225231703,54.0,0
E-commerce,23404.437502176228,9,3,0.4667048142402623,24.0,1
Healthcare,19092.21585536896,1,0,0.7414880400885775,43.0,0
Healthcare,44956.51180890605,5,2,0.1454256806284354,11.0,0
Finance,9735.548961011998,0,0,0.6725977827919738,19.0,0
Finance,84352.77130410698,2,2,0.152586190931265,18.0,0
Manufacturing,55033.25825283741,1,1,0.3562497369260196,4.0,0
E-commerce,42685.14723083983,7,7,0.4296950194989319,33.0,1
SaaS,27053.50598543059,3,1,0.1906923637405335,10.0,0
Healthcare,214354.75528581845,4,5,0.3764357788081341,30.0,1
Finance,11207.936686818228,0,0,0.2835271940231726,41.0,0
Finance,102132.06978326075,3,1,0.1875705875010992,12.0,0
Healthcare,264951.39484062715,2,2,0.3640757094456661,5.0,1
SaaS,27079.025812503634,4,3,0.1617180703539996,18.0,1
SaaS,13940.21305954732,1,0,0.7367067898039609,15.0,0
SaaS,22360.88444477821,4,3,0.2587487897635052,14.0,1
Healthcare,483095.6140563244,2,2,0.4872936929734103,9.0,1
Manufacturing,97224.4849734827,2,2,0.5090541076796435,7.0,1
SaaS,20956.37667302344,2,0,0.8067865798234297,31.0,0
SaaS,328850.5538924856,4,1,0.3354395451032248,20.0,0
SaaS,14711.292023870406,1,0,0.8999600488227429,50.0,0
Healthcare,60112.26756134677,6,0,0.419273950772578,9.0,0
Finance,43076.052409765936,4,2,0.0979810032987366,7.0,0
Healthcare,53099.4562870104,7,5,0.1732820235468584,43.0,1
E-commerce,42827.36145258996,8,4,0.2761183160838107,27.0,1
Finance,116647.3981723506,2,4,0.2442061145747298,2.0,1
Finance,70589.20405464243,3,1,0.2594728005961142,19.0,0
Finance,314414.4321406523,0,0,0.1802477313961953,4.0,0
Finance,73058.56196493196,7,5,0.5347413945407481,19.0,1
E-commerce,12555.23277440029,1,0,0.4994652256744403,59.0,0
SaaS,100395.73618962296,3,4,0.4071378134982983,14.0,1
SaaS,38174.21059597279,3,0,0.2518849961329405,6.0,0
Finance,42778.7036635688,7,3,0.2465740465626183,10.0,1
SaaS,167728.56111135354,2,1,0.3268244907235685,2.0,1
SaaS,74054.39087261494,6,2,0.1970408606331391,20.0,1
Finance,287921.1431098266,4,3,0.2835271940231726,10.0,1
Healthcare,115098.41980020312,11,5,0.4052170820876985,30.0,1
Healthcare,76928.5608001895,8,5,0.3007425121111994,21.0,1
SaaS,44244.584847256825,3,3,0.1237964772571122,15.0,0
SaaS,96996.93770421507,5,2,0.6293738602531634,17.0,0
Finance,90742.2285141728,0,0,0.0178143523585392,14.0,0
Healthcare,56637.2878908121,13,14,0.3235499403394514,38.0,1
SaaS,52827.86849128416,3,1,0.5075065149655674,16.0,0
SaaS,123609.29673341922,3,3,0.0968878784340446,13.0,1
E-commerce,59235.53649231934,1,1,0.1699718461168815,34.0,0
SaaS,254829.54925960163,1,2,0.2452132555502381,3.0,1
Finance,55923.30289095286,3,1,0.2423691625847526,8.0,0
Finance,37199.85296114289,3,3,0.1009203483629118,11.0,0
SaaS,130554.66483879308,3,4,0.3619013511658667,15.0,1
Finance,72385.40349538866,4,7,0.2851353979570911,33.0,1
SaaS,66206.99288523811,3,3,0.5644575667551881,18.0,0
Manufacturing,135085.68015584053,2,1,0.1100180894454281,2.0,0
SaaS,57600.10418932828,3,0,0.2506577257443846,22.0,0
Healthcare,65424.5454789384,1,0,0.1178135793468218,19.0,0
SaaS,92660.50782022878,7,1,0.2536676557030031,21.0,1
SaaS,63279.84010278448,2,1,0.1036117431393954,20.0,0
SaaS,36740.97816717664,2,1,0.1701618036108588,21.0,0
Manufacturing,137427.9876799388,1,5,0.5041219367041244,1.0,1
Healthcare,148771.84868416103,3,3,0.314533040114434,14.0,0
Manufacturing,31226.08892504053,4,2,0.3283828904098099,25.0,1
Manufacturing,59405.606439271134,4,0,0.455998196405114,19.0,0
Finance,133800.65046445906,2,2,0.1655277985119914,21.0,0
Finance,55702.20316898407,3,2,0.1363996319271721,19.0,0
Finance,32941.87541525085,3,1,0.2994806453572636,38.0,0
Finance,199694.6695596536,2,0,0.1626880132691094,18.0,0
Finance,78847.30064945343,0,0,0.0688253527182873,10.0,0
SaaS,23234.03560405937,7,3,0.218623638785813,6.0,0
Finance,47840.505931385145,5,3,0.3848233445490873,23.0,1
Healthcare,27172.004455891736,0,3,0.2784624656280969,20.0,0
E-commerce,152963.3714488603,1,2,0.2040406265677948,6.0,1
Finance,45463.57681732994,6,2,0.1775804634918218,10.0,0
E-commerce,39064.65821137225,7,5,0.4506684528136587,29.0,1
Healthcare,192266.35922048884,2,0,0.2504110549138577,31.0,0
Finance,88064.14311887512,4,4,0.2369557026125006,21.0,1
SaaS,54700.48707647731,4,0,0.2791752284524267,13.0,0
SaaS,13239.183811910243,2,0,0.646121267566565,45.0,0
E-commerce,34175.65588226137,1,1,0.0373719613712003,29.0,0
SaaS,72747.3369565617,6,3,0.2088126871144672,14.0,1
E-commerce,371349.03120773984,1,3,0.2621536042517672,10.0,1
Healthcare,233633.44337528577,0,0,0.0848349540662609,7.0,0
Finance,84291.57817862564,6,5,0.171807002154238,42.0,1
E-commerce,12513.732264394754,7,2,0.2845037987158857,18.0,1
E-commerce,22884.70226202012,5,1,0.2117304752794419,16.0,0
Manufacturing,52856.8846247082,8,5,0.3728662858989643,16.0,1
Healthcare,26495.597423526626,4,0,0.2061221027613758,9.0,0
Healthcare,24506.762235979742,5,3,0.2170895694295951,38.0,1
E-commerce,34106.796266205914,7,7,0.3115612429993741,23.0,1
Healthcare,231826.04870700467,4,6,0.2835271940231726,3.0,1
Manufacturing,26158.098010894588,6,3,0.2235318597328883,31.0,0
E-commerce,50478.29267765216,4,1,0.1851567212810765,19.0,0
Healthcare,110961.92726584732,2,0,0.1192806215911436,10.0,0
E-commerce,17366.07243303117,8,8,0.4367152938527109,38.0,1
E-commerce,29680.980118835872,2,3,0.4453831926410634,16.0,0
Finance,252843.7424228176,2,3,0.1842243853667404,2.0,1
Manufacturing,9122.981870769232,2,0,0.5862656624019145,51.0,0
SaaS,141952.90968288475,0,0,0.161577735741465,10.0,0
E-commerce,219210.09730451787,4,2,0.4271282061908399,2.0,1
Healthcare,62139.55388250102,3,1,0.2273877322790683,8.0,0
E-commerce,308453.82238040573,0,0,0.2220734391892179,14.0,0
Healthcare,15947.965545899962,1,0,0.7749794333233265,34.0,0
Finance,92832.610504643,6,3,0.2763911878240969,15.0,1
Manufacturing,25727.727518739623,7,3,0.2816137063081868,20.0,1
Finance,221922.8979994525,1,2,0.1647026501030316,14.0,0
Healthcare,37725.612982149294,4,1,0.1946378052683743,23.0,0
Manufacturing,21555.972751671517,6,5,0.3928685935299998,23.0,1
Manufacturing,11760.995585083843,1,1,0.7272504103786687,32.0,0
SaaS,9027.188084093805,1,1,0.7765109357811862,19.0,0
SaaS,54480.51268389416,5,3,0.246273679043384,15.0,1
Healthcare,232094.68893228995,2,2,0.1458465772927185,11.0,1
Healthcare,58684.51105523659,6,1,0.2963733239310723,16.0,1
Healthcare,240633.16344877685,3,4,0.2863001552810194,2.0,1
SaaS,26431.67451816173,2,2,0.4197748797503473,31.0,0
E-commerce,165003.12152219057,2,2,0.2669780592885497,17.0,1
E-commerce,137571.95766038392,2,2,0.1624952505777548,1.0,0
E-commerce,32953.70828639016,3,2,0.2500329752508573,23.0,0
Finance,93369.80555668449,6,6,0.4078653360704564,22.0,1
SaaS,16691.36088510372,2,0,0.725409469393648,37.0,0
Finance,47513.2946956212,9,6,0.4071535329668878,23.0,1
SaaS,67303.86877443336,5,5,0.2197346725753017,26.0,1
Healthcare,20172.989979494658,2,0,0.6253252934060574,54.0,0
E-commerce,102257.82886339484,9,4,0.4409024960334168,27.0,1
Healthcare,258484.99652547564,2,3,0.2871748682142442,1.0,1
Finance,53100.39282173759,3,1,0.133927264182181,15.0,0
Finance,129993.37565425056,1,2,0.3229517046869035,0.0,1
E-commerce,116614.29474443429,1,2,0.1769780986331763,8.0,1
